OMIM_disease,OMIM_phen_key,OMIM_orgene,OMIM_id,OMIM_pos,OMIM_gene
"Alopecia, neurologic defects, and endocrinopathy syndrome, 612079 ",3,"RBM28, ANES",612074,7q32.1,RBM28
"Amyloidosis, familial visceral, 105200 ",3,"B2M, IMD43",109700,15q21.1,B2M
"Ataxia-telangiectasia-like disorder, 615919 ",3,"PCNA, ATLD2",176740,20p12.3,PCNA
"Atrial fibrillation 15, 615770 ",3,"NUP155, KIAA0791, ATFB15",606694,5p13.2,NUP155
"Autoimmune lymphoproliferative syndrome, type IIB, 607271 ",3,"CASP8, MCH5, ALPS2B",601763,2q33.1,CASP8
"Bardet-Biedl syndrome 11, 615988 ",3,"TRIM32, HT2A, LGMD2H, BBS11",602290,9q33.1,TRIM32
"Bardet-Biedl syndrome 14, 615991 ",3,"CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14",610142,12q21.32,CEP290
"Brachydactyly-syndactyly syndrome, 610713 ",3,"HOXD13, HOX4I, SPD1, BDSD",142989,2q31.1,HOXD13
"CHARGE syndrome, 214800 ",3,"SEMA3E, SEMAH, KIAA0331",608166,7q21.11,SEMA3E
"Cardiomyopathy, dilated, 1M, 607482 ",3,"CSRP3, CRP3, CLP, CMD1M, CMH12",600824,11p15.1,CSRP3
"Cardiomyopathy, dilated, 2A, 611880 ",3,"TNNI3, CMH7, CMD2A, RCM1, CMD1FF",191044,19q13.42,TNNI3
"Cataract 30, pulverulent, 116300 ",3,"VIM, CTRCT30",193060,10p13,VIM
"Cataract 41, 116400 ",3,"WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41",606201,4p16.1,WFS1
"Cataract 45, 616851 ",3,"SIPA1L3, SPAL3, SPAR3, KIAA0545, CTRCT45",616655,19q13.1-q13.2,SIPA1L3
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4, 615268 ",3,"ATP8A2, ATPIB, CAMRQ4",605870,13q12.13,ATP8A2
"Cerebral palsy, spastic quadriplegic, 1, 603513 ",3,"GAD1, SCP, CPSQ1",605363,2q31.1,GAD1
"Ceroid lipofuscinosis, neuronal, 12, 606693 ",3,"ATP13A2, PARK9, KRPPD, CLN12",610513,1p36.13,ATP13A2
"Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K, 607831 ",3,"JPH1, JP1, CMT2K",605266,8q21.11,JPH1
"Charcot-Marie-Tooth disease, axonal, type 2V, 616491 ",3,"NAGLU, MPS3B, CMT2V",609701,17q21.2,NAGLU
"Charcot-Marie-Tooth disease, recessive intermediate, B, 613641 ",3,"KARS, CMTRIB, DFNB89",601421,16q23.1,KARS
"Charcot-Marie-Tooth disease, type 2A1, 118210 ",3,"KIF1B, CMT2A, CMT2A1, NBLST1",605995,1p36.22,KIF1B
"Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia, 300863 ",3,"HDAC6, CPBHM",300272,Xp11.23,HDAC6
"Chorea, childhood-onset, with psychomotor retardation, 616939 ",3,"GPR88, STRG, COCPMR",607468,1p21.2,GPR88
"Coenzyme Q10 deficiency, primary, 8, 616733 ",3,"COQ7, CLK1, COQ10D8",601683,16p12.3,COQ7
"Combined oxidative phosphorylation deficiency 22, 616045 ",3,"ATP5A1, ATPM, ATP5A, ORM, MC5DN4, COXPD22",164360,18q21.1,ATP5A1
"Complement factor B deficiency, 615561 ",3,"CFB, BF, GBG, AHUS4, ARMD14, CFBD",138470,6p21.33,CFB
"Congenital disorder of glycosylation, type Ii, 607906 ",3,"ALG2, CDGII, CMSTA3, CMS14",607905,9q22.33,ALG2
"Congenital disorder of glycosylation, type Iw, 615596 ",3,"STT3A, ITM1, TMC",601134,11q24.2,STT3A
"Corneal intraepithelial dyskeratosis and ectodermal dysplasia, 615225 ",3,"NLRP1, NALP1, KIAA0926, DEFCAP, CARD7, SLEV1, VAMAS1, CIDED",606636,17p13.2,NLRP1
"Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia, 616819 ",3,"FRMD4A, KIAA1294, CCAFCA",616305,10p13,FRMD4A
"Craniofacial anomalies and anterior segment dysgenesis syndrome, 614195 ",3,"VSX1, RINX, KTCN1, CAASDS",605020,20p11.21,VSX1
"Cutaneous telangiectasia and cancer syndrome, familial, 614564 ",3,"ATR, FRP1, SCKL1, FCTCS",601215,3q23,ATR
"Deafness, X-linked 6, 300914 ",3,"COL4A6, DELXq22.3, CXDELq22.3, DFNX6",303631,Xq22.3,COL4A6
"Deafness, autosomal dominant 44, 607453 ",3,"CCDC50, C3orf6, DFNA44",611051,3q28,CCDC50
"Deafness, autosomal recessive 44, 610154 ",3,"ADCY1, DFNB44",103072,7p12.3,ADCY1
"Deafness, autosomal recessive 66, 610212 ",3,"DCDC2, RU2, KIAA1154, NPHP19, DFNB66",605755,6p22.3,DCDC2
"Deafness, autosomal recessive 91, 613453 ",3,"SERPINB6, PI6, PTI, SPI3, DFNB91",173321,6p25.2,SERPINB6
"Deafness, autosomal recessive 97, 616705 ",3,"MET, DFNB97, OSFD",164860,7q31.2,MET
"Dystonia 23, 614860 ",3,"CACNA1B, CACNL1A5, DYT23",601012,9q34.3,CACNA1B
"Dystonia, juvenile-onset, 607371 ",3,"ACTB, BRWS1",102630,7p22.1,ACTB
"Epidermolysis bullosa simplex with nail dystrophy, 616487 ",3,"PLEC1, PLEC, PLTN, EBS1, LGMD2Q, EBSOG, EBSPA, EBSMD, EBSND",601282,8q24.3,PLEC1
"Epilepsy, myoclonic, familial adult, 5, 615400 ",3,"CNTN2, TAX, TAX1, FAME5",190197,1q32.1,CNTN2
"Epileptic encephalopathy, early infantile, 47, 617166 ",3,"FGF12, FHF1, EIEE47",601513,3q28-q29,FGF12
"Epiphyseal dysplasia, multiple, 6, 614135 ",3,"COL9A1, EDM6, STL4",120210,6q13,COL9A1
"Fanconi renotubular syndrome 3, 615605 ",3,"EHHADH, PBFE, LBFP, FRTS3",607037,3q27.2,EHHADH
"Febrile seizures, familial, 4, 604352 ",3,"ADGRV1, GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C",602851,5q14.3,ADGRV1
"Fetal akinesia deformation sequence, 208150 ",3,"DOK7, C4orf25, CMS10",610285,4p16.3,DOK7
"Fibromatosis, gingival, 1, 135300 ",3,"SOS1, GINGF, GF1, HGF, NS4",182530,2p22.1,SOS1
"Glycogen storage disease XIII, 612932 ",3,"ENO3, GSD13",131370,17p13.2,ENO3
"Growth restriction, severe, with distinctive facies, 616489 ",3,"IGF2, GRDF",147470,11p15.5,IGF2
"Hemochromatosis, type 5, 615517 ",3,"FTH1, FTHL6, HFE5",134770,11q12.3,FTH1
"Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 ",3,ECE1,600423,1p36.12,ECE1
"Hypogonadotropic hypogonadism 13 with or without anosmia, 614842 ",3,"KISS1, HH13",603286,1q32.1,KISS1
"Hypotrichosis and recurrent skin vesicles, 613102 ",3,"DSC3, DSC4",600271,18q12.1,DSC3
"Immunodeficiency 13, 615518 ",3,"UNC119, HRG4, IMD13",604011,17q11.2,UNC119
"Immunodeficiency 22, 615758 ",3,"LCK, IMD22",153390,1p35.2,LCK
"Immunodeficiency 25, 610163 ",3,"CD247, CD3Z, TCRZ, IMD25",186780,1q24.2,CD247
"Immunodeficiency 45, 616669 ",3,"IFNAR2, IMD45",602376,21q22.11,IFNAR2
"Infantile liver failure syndrome 1, 615438 ",3,"LARS, LFIS, ILFS1",151350,5q32,LARS
"Inflammatory skin and bowel disease, neonatal, 2, 616069 ",3,"EGFR, NISBD2",131550,7p11.2,EGFR
"Joubert syndrome 22, 615665 ",3,"PDE6D, JBTS22",602676,2q37.1,PDE6D
"Juvenile myelomonocytic leukemia, 607785 ",3,"CBL, CBL2, NSLL",165360,11q23.3,CBL
"Keratosis pilaris atrophicans, 604093 ",3,"LRP1, A2MR, KPA",107770,12q13.3,LRP1
"Laurence-Moon syndrome, 245800 ",3,"PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS",603197,19p13.2,PNPLA6
"Leigh syndrome, 256000 ",3,NDUFA10,603835,2q37.3,NDUFA10
"Lethal congenital contracture syndrome 8, 616287 ",3,"ADCY6, LCCS8",600294,12q13.12,ADCY6
"Leukemia, acute myeloid, 601626 ",3,"CEBPA, CEBP",116897,19q13.11,CEBPA
"Lichtenstein-Knorr syndrome, 616291 ",3,"SLC9A1, NHE1, APNH, LIKNS",107310,1p36.11,SLC9A1
"Lipodystrophy, congenital generalized, type 3, 612526 ",3,"CAV1, BSCL3, CGL3, PPH3, LCCNS",601047,7q31.2,CAV1
"Macular degeneration, age-related, 6, 613757 ",3,"RAX2, RAXL1, QRX, CORD11, ARMD6",610362,19p13.3,RAX2
"Meckel syndrome 12, 616258 ",3,"KIF14, KIAA0042, MKS12",611279,1q32.1,KIF14
"Mental retardation, X-linked, syndromic 11, Shashi type, 300238 ",3,"RBMX, MRXS11",300199,Xq26.3,RBMX
"Mental retardation, X-linked, syndromic, Hedera type, 300423 ",3,"ATP6AP2, ATP6M8-9, XMRE, MRXSH, XPDS",300556,Xp11.4,ATP6AP2
"Mental retardation, autosomal dominant 22, 612337 ",3,"ZBTB18, ZNF238, RP58, MRD22",608433,1q44,ZBTB18
"Mental retardation, autosomal recessive 43, 615817 ",3,"KIAA1033, SWIP, MRT43",615748,12q23.3,KIAA1033
"Methemoglobinemia, type IV, 250790 ",3,"CYB5A, MCB5",613218,18q22.3,CYB5A
"Microcephaly 12, primary, autosomal recessive, 616080 ",3,"CDK6, PLSTIRE, MCPH12",603368,7q21.2,CDK6
"Mitochondrial complex I deficiency, 252010 ",3,"NDUFB9, UQOR22",601445,8q24.13,NDUFB9
"Mitochondrial complex IV deficiency, 220110 ",3,"COX14, C12orf62",614478,12q13.12,COX14
"Mitochondrial complex IV deficiency, 220110 ",3,COX8A,123870,11q13.1,COX8A
"Mitochondrial complex IV deficiency, 220110 ",3,"FASTKD2, KIAA0971",612322,2q33.3,FASTKD2
"Monilethrix, 158000 ",3,"KRT83, KRTHB3, HB3",602765,12q13.13,KRT83
"Morning glory disc anomaly, 120430 ",3,"PAX6, AN2, MGDA, FVH1",607108,11p13,PAX6
"Mucopolysaccharidosis type IX, 601492 ",3,"HYAL1, MPS9",607071,3p21.31,HYAL1
"Muscular dystrophy, limb-girdle, type 2R, 615325 ",3,"DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R",125660,2q35,DES
"Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314 ",3,"CHRNB1, ACHRB, SCCMS, CMS2A, CMS2C",100710,17p13.1,CHRNB1
"Myasthenic syndrome, congenital, 3A, slow-channel, 616321 ",3,"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C",100720,2q37.1,CHRND
"Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323 ",3,"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C",100720,2q37.1,CHRND
"Myofibromatosis, infantile 2, 615293 ",3,"NOTCH3, CADASIL1, CASIL, IMF2, LMNS",600276,19p13.12,NOTCH3
"Myopathy, scapulohumeroperoneal, 616852 ",3,"ACTA1, ASMA, NEM3, CFTD1, SHPM",102610,1q42.13,ACTA1
"Myosclerosis, congenital, 255600 ",3,"COL6A2, BTHLM1, UCMD1",120240,21q22.3,COL6A2
"Narcolepsy 7, 614250 ",3,"MOG, NRCLP7",159465,6p22.1,MOG
"Neurodegeneration with optic atrophy, childhood onset, 615491 ",3,"UCHL1, PARK5, NDGOA",191342,4p13,UCHL1
"Neuropathy, hereditary sensory and autonomic, type VI, 614653 ",3,"DST, BPAG1, DMH, D6S1101, HSAN6, EBSB2",113810,6p12.1,DST
"Neutropenia, nonimmune chronic idiopathic, of adults, 607847 ",3,"GFI1, ZNF163, SCN2",600871,1p22.1,GFI1
"Neutropenia, severe congenital 2, autosomal dominant, 613107 ",3,"GFI1, ZNF163, SCN2",600871,1p22.1,GFI1
"Night blindness, congenital stationary, type 1G, 616389 ",3,"GNAT1, CSNBAD3, CSNB1G",139330,3p21.31,GNAT1
"Obesity, hyperphagia, and developmental delay, 613886 ",3,"NTRK2, TRKB",600456,9q21.33,NTRK2
"Optic atrophy 9, 616289 ",3,"ACO2, ICRD, OPA9",100850,22q13.2,ACO2
"Otofaciocervical syndrome 2, 615560 ",3,"PAX1, OFC2",167411,20p11.22,PAX1
"Otofaciocervical syndrome, 166780 ",3,"EYA1, BOR, BOS1, OFC1",601653,8q13.3,EYA1
"Parkinsonism with spasticity, X-linked, 300911 ",3,"ATP6AP2, ATP6M8-9, XMRE, MRXSH, XPDS",300556,Xp11.4,ATP6AP2
"Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome, 606721 ",3,"CAV1, BSCL3, CGL3, PPH3, LCCNS",601047,7q31.2,CAV1
"Peripheral neuropathy, myopathy, hoarseness, and hearing loss, 614369 ",3,"MYH14, KIAA2034, DFNA4A, PNMHH",608568,19q13.33,MYH14
"Pontocerebellar hypoplasia, type 3, 608027 ",3,"PCLO, PCH3",604918,7q21.11,PCLO
"Precocious puberty, central, 1, 176400 ",3,"KISS1R, GPR54, HH8, CPPB1",604161,19p13.3,KISS1R
"Premature ovarian failure 10, 612885 ",3,"MCM8, POF10",608187,20p12.3,MCM8
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3, 617069 ",3,"TK2, MTDPS2, PEOB3",188250,16q21,TK2
"RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic, 614470 ",3,"NRAS, ALPS4, NS6, CMNS, NCMS",164790,1p13.2,NRAS
"Renal hypodysplasia/aplasia 2, 615721 ",3,"FGF20, RHDA2",605558,8p22,FGF20
"Retinal arteries, tortuosity of, 180000 ",3,"COL4A1, POREN1, HANAC, ICH, BSVD, RATOR",120130,13q34,COL4A1
"Retinal dystrophy, juvenile cataracts, and short stature syndrome, 616108 ",3,"RDH11, PSDR1, RALR1, RDJCSS",607849,14q24.1,RDH11
"Retinitis pigmentosa 23, 300424 ",3,"OFD1, CXorf5, SGBS2, JBTS10, RP23",300170,Xp22.2,OFD1
"Retinitis pigmentosa 55, 613575 ",3,"ARL6, BBS3, RP55",608845,3q11.2,ARL6
"Retinitis pigmentosa 66, 615233 ",3,"RBP3, RP66",180290,10q11.22,RBP3
"Retinitis pigmentosa 67, 615565 ",3,"NEK2, RP67",604043,1q32.3,NEK2
"Retinitis pigmentosa 9, 180104 ",3,"RP9, PAP1",607331,7p14.3,RP9
"Reynolds syndrome, 613471 ",3,"LBR, PHA",600024,1q42.12,LBR
"Sarcoma, synovial, 300813 ",3,"SSX1, SSRC",312820,Xp11.23,SSX1
"Sarcoma, synovial, 300813 ",3,SSX2,300192,Xp11.22,SSX2
"Seckel syndrome 4, 613676 ",3,"CENPJ, CPAP, MCPH6, SCKL4",609279,13q12.12-q12.13,CENPJ
"Seizures, scoliosis, and macrocephaly syndrome, 616682 ",3,"EXT2, SSMS",608210,11p11.2,EXT2
"Slowed nerve conduction velocity, AD, 608236 ",3,"ARHGEF10, KIAA0294, SNCV",608136,8p23.3,ARHGEF10
"Sotos syndrome 3, 617169 ",3,"APC2, APCL, SOTOS3",612034,19p13.3,APC2
"Spastic paraplegia 63, 615686 ",3,"AMPD2, SPG63, PCH9",102771,1p13.3,AMPD2
"Spermatogenic failure 6, 102530 ",3,"SPATA16, SPGF6",609856,3q26.31,SPATA16
"Spinocerebellar ataxia 26, 609306 ",3,"EEF2, EF2, SCA26",130610,19p13.3,EEF2
"Spinocerebellar ataxia 43, 617018 ",3,"MME, CD10, CALLA, NEP, CMT2T, SCA43",120520,3q25.2,MME
"Split-hand/foot malformation 1 with sensorineural hearing loss, 220600 ",3,"DLX5, SHFM1D",600028,7q21.3,DLX5
"Spondylocostal dysostosis 3, autosomal recessive, 609813 ",3,"LFNG, SCDO3",602576,7p22.3,LFNG
"Stickler syndrome, type V, 614284 ",3,"COL9A2, EDM2, STL5",120260,1p34.2,COL9A2
"Stocco dos Santos X-linked mental retardation syndrome, 300434 ",3,"SHROOM4, KIAA1202, SDSX",300579,Xp11.22,SHROOM4
"Testicular anomalies with or without congenital heart disease, 615542 ",3,"GATA4, ASD2, VSD1, TACHD, TOF",600576,8p23.1,GATA4
"Tetra-amelia syndrome, 273395 ",3,"WNT3, INT4, TETAMS",165330,17q21.31-q21.32,WNT3
"Thrombocytopenia 6, 616937 ",3,"SRC, ASV, SRC1, THC6",190090,20q11.23,SRC
"Trichothiodystrophy 5, nonphotosensitive, 300953 ",3,"RNF113A, ZNF183, TTD5",300951,Xq24,RNF113A
"Waisman syndrome, 311510 ",3,"RAB39B, MRX72, WSMN",300774,Xq28,RAB39B
"Webb-Dattani syndrome, 615926 ",3,"ARNT2, WEDAS",606036,15q25.1,ARNT2
"XFE progeroid syndrome, 610965 ",3,"ERCC4, XPF, FANCQ, XFEPS",133520,16p13.12,ERCC4
"Amyotrophic lateral sclerosis, susceptibility to, 105400 ",3,"NEFH, CMT2CC",162230,22q12.2,NEFH
"Autism susceptibility 16, 613410 ",3,"SLC9A9, AUTS16",608396,3q24,SLC9A9
"Parkinson disease 5, susceptibility to, 613643 ",3,"UCHL1, PARK5, NDGOA",191342,4p13,UCHL1
"ABCD syndrome, 600501 ",3,"EDNRB, HSCR2, ABCDS, WS4A",131244,13q22.3,EDNRB
"ACTH-independent macronodular adrenal hyperplasia, 219080 ",3,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C",139320,20q13.32,GNAS
"ADULT syndrome, 103285 ",3,"TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8",603273,3q28,TP63
"Aarskog-Scott syndrome, 305400 ",3,"FGD1, FGDY, AAS, MRXS16",300546,Xp11.22,FGD1
"Abdominal obesity-metabolic syndrome 3, 615812 ",3,"DYRK1B, MIRK, AOMS3",604556,19q13.2,DYRK1B
"Acampomelic campomelic dysplasia, 114290 ",3,"SOX9, CMD1, SRA1",608160,17q24.3,SOX9
"Acatalasemia, 614097 ",3,CAT,115500,11p13,CAT
"Achalasia-addisonianism-alacrimia syndrome, 231550 ",3,"AAAS, AAA",605378,12q13.13,AAAS
"Acheiropody, 200500 ",3,"LMBR1, ACHP, C7orf2, PPD2, THYP, LSS",605522,7q36.3,LMBR1
"Achondrogenesis Ib, 600972 ",3,"SLC26A2, DTD, DTDST, D5S1708, EDM4",606718,5q32,SLC26A2
"Achondrogenesis, type IA, 200600 ",3,"TRIP11, TRIP230, CEV14, ACG1A",604505,14q32.12,TRIP11
"Achondrogenesis, type II or hypochondrogenesis, 200610 ",3,COL2A1,120140,12q13.11,COL2A1
"Achondroplasia, 100800 ",3,"FGFR3, ACH",134934,4p16.3,FGFR3
"Achromatopsia 3, 262300 ",3,"CNGB3, ACHM3, ACHM1",605080,8q21.3,CNGB3
"Achromatopsia 4, 613856 ",3,"GNAT2, ACHM4",139340,1p13.3,GNAT2
"Achromatopsia 6, 610024 ",3,"PDE6H, RCD3, ACHM6",601190,12p12.3,PDE6H
"Acne inversa, familial, 3, 613737 ",3,"PSEN1, AD3",104311,14q24.2,PSEN1
"Acrocapitofemoral dysplasia, 607778 ",3,"IHH, BDA1",600726,2q35,IHH
"Acrodermatitis enteropathica, 201100 ",3,"SLC39A4, ZIP4",607059,8q24.3,SLC39A4
"Acrodysostosis 1, with or without hormone resistance, 101800 ",3,"PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1",188830,17q24.2,PRKAR1A
"Acrodysostosis 2, with or without hormone resistance, 614613 ",3,"PDE4D, DPDE3, STRK1, ACRDYS2",600129,5q11.2-q12.1,PDE4D
"Acrokeratosis verruciformis, 101900 ",3,"ATP2A2, ATP2B, DAR",108740,12q24.11,ATP2A2
"Acromegaly, somatic, 102200 ",3,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C",139320,20q13.32,GNAS
"Acromelic frontonasal dysostosis, 603671 ",3,"ZSWIM6, KIAA1577, AFND",615951,5q12.1,ZSWIM6
"Acromicric dysplasia, 102370 ",3,"FBN1, MFS1, WMS2, SSKS, GPHYSD2, ACMICD, ECTOL1, MFLS",134797,15q21.1,FBN1
"Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 ",3,"ACADS, SCAD",606885,12q24.31,ACADS
"Adams-Oliver syndrome 5, 616028 ",3,"NOTCH1, TAN1, AOS5, AOVD1",190198,9q34.3,NOTCH1
"Adenine phosphoribosyltransferase deficiency, 614723 ",3,"APRT, APRTD",102600,16q24.3,APRT
"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 ",3,"EGFR, NISBD2",131550,7p11.2,EGFR
"Adenocarcinoma of lung, somatic, 211980 ",3,"BRAF, NS7",164757,7q34,BRAF
"Adenocarcinoma of lung, somatic, 211980 ",3,"ERBB2, NGL, NEU, HER2",164870,17q12,ERBB2
"Adenocarcinoma of lung, somatic, 211980 ",3,"PRKN, PARK2, PDJ, LPRS2",602544,6q26,PRKN
"Adenocarcinoma, ovarian, somatic, 167000 ",3,"PRKN, PARK2, PDJ, LPRS2",602544,6q26,PRKN
"Adenomas, salivary gland pleomorphic, somatic, 181030 ",3,"PLAG1, SGPA, PSA",603026,8q12.1,PLAG1
"Adenomatous polyposis coli, 175100 ",3,"APC, GS, FPC, BTPS2",611731,5q22.2,APC
"Adenosine deaminase deficiency, partial, 102700 ",3,ADA,608958,20q13.12,ADA
"Adenosine triphosphate, elevated, of erythrocytes, 102900 ",3,"PKLR, PK1",609712,1q22,PKLR
"Adenylosuccinase deficiency, 103050 ",3,ADSL,608222,22q13.1,ADSL
"Adrenal cortical carcinoma, 202300 ",3,"TP53, P53, LFS1 , BCC7",191170,17p13.1,TP53
"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency, 202010 ",3,"CYP11B1, P450C11, FHI",610613,8q24.3,CYP11B1
"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency, 201910 ",3,"CYP21A2, CYP21, CA21H",613815,6p21.33,CYP21A2
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency, 201810 ",3,HSD3B2,613890,1p12,HSD3B2
"Adrenal hypoplasia, congenital, 300200 ",3,"DAX1, AHC, AHX, NR0B1, SRXY2",300473,Xp21.2,DAX1
"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete, 613743 ",3,"CYP11A1, P450SCC",118485,15q24.1,CYP11A1
"Adrenoleukodystrophy, 300100 ",3,"ABCD1, ALD, AMN",300371,Xq28,ABCD1
"Adrenomyeloneuropathy, adult, 300100 ",3,"ABCD1, ALD, AMN",300371,Xq28,ABCD1
"Adult i phenotype without cataract, 110800 ",3,"GCNT2, Ii, CTRCT13",600429,6p24.3-p24.2,GCNT2
"Advanced sleep-phase syndrome, familial, 2, 615224 ",3,"CSNK1D, ASPS, FASPS2",600864,17q25.3,CSNK1D
"Afibrinogenemia, congenital, 202400 ",3,FGA,134820,4q31.3,FGA
"Afibrinogenemia, congenital, 202400 ",3,FGB,134830,4q31.3,FGB
"Afibrinogenemia, congenital, 202400 ",3,FGG,134850,4q32.1,FGG
"Agammaglobulinemia 1, 601495 ",3,"IGHM, MU, AGM1",147020,14q32.33,IGHM
"Agammaglobulinemia 2, 613500 ",3,"IGLL1, IGO, IGL5, VPREB2, AGM2",146770,22q11.23,IGLL1
"Agammaglobulinemia 8, autosomal dominant, 616941 ",3,"TCF3, E2A, AGM8",147141,19p13.3,TCF3
"Agammaglobulinemia and isolated hormone deficiency, 307200 ",3,"BTK, AGMX1, IMD1, XLA, AT",300300,Xq22.1,BTK
"Agammaglobulinemia, X-linked 1, 300755 ",3,"BTK, AGMX1, IMD1, XLA, AT",300300,Xq22.1,BTK
"Agenesis of the corpus callosum with peripheral neuropathy, 218000 ",3,"SLC12A6, KCC3A, KCC3B, KCC3, ACCPN",604878,15q14,SLC12A6
"Agnathia-otocephaly complex, 202650 ",3,"PRRX1, PMX1, PHOX1, AGOTC",167420,1q24.2,PRRX1
"Aicardi-Goutieres syndrome 1, dominant and recessive, 225750 ",3,"TREX1, AGS1, CRV, HERNS",606609,3p21.31,TREX1
"Aicardi-Goutieres syndrome 4, 610333 ",3,"RNASEH2A, RNHIA, AGS4",606034,19p13.13,RNASEH2A
"Aicardi-Goutieres syndrome 6, 615010 ",3,"ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6",146920,1q21.3,ADAR
"Aicardi-Goutieres syndrome 7, 615846 ",3,"IFIH1, MDA5, AGS7, SGMRT1",606951,2q24.2,IFIH1
"Alagille syndrome 1, 118450 ",3,"JAG1, AGS1, AHD",601920,20p12.2,JAG1
